		(1)	(2)	(3)	(4)	(5)	(6)
EQUATION	VARIABLES	dgovjobs	dgovunemp	dgovincdiff	dgovretire	dgovhous	dhcare
							
a	a	.	.	.	.	.	.
		(.)	(.)	(.)	(.)	(.)	(.)
	cforborn	1.122*	1.195*	1.094	1.510***	1.304**	1.219
		(2.151)	(2.423)	(1.467)	(5.275)	(3.280)	(1.639)
	foreignpct	0.939**	0.934*	0.958	0.958	0.980	0.958
		(-3.201)	(-2.538)	(-1.888)	(-1.820)	(-0.698)	(-0.983)
	age	0.984*	1.030***	1.020**	1.058***	1.004	1.035*
		(-2.341)	(4.079)	(2.807)	(3.987)	(0.420)	(2.155)
	agesq	1.000	1.000**	1.000	1.000***	1.000	1.000*
		(1.737)	(-2.669)	(-1.886)	(-3.386)	(0.050)	(-2.108)
	female	1.328***	1.080	1.244***	1.218*	1.182***	1.244*
		(7.890)	(1.956)	(5.753)	(2.497)	(3.771)	(2.516)
	nevermar	1.149**	1.377***	1.150*	1.210	1.398***	1.172
		(2.628)	(5.507)	(2.509)	(1.614)	(5.005)	(1.193)
	divorced	1.007	1.238**	1.129	1.012	1.357***	0.856
		(0.110)	(3.153)	(1.836)	(0.089)	(3.893)	(-1.094)
	widow	1.099	1.127	1.114	0.855	1.104	1.256
		(1.154)	(1.286)	(1.164)	(-0.866)	(0.922)	(1.113)
	hhsize	1.074***	1.067**	1.100***	1.012	1.043	1.003
		(3.814)	(3.219)	(4.814)	(0.316)	(1.814)	(0.060)
	kidshh	1.000	0.919	0.894*	0.900	0.957	1.231
		(0.004)	(-1.518)	(-2.086)	(-0.966)	(-0.691)	(1.708)
	rural	0.951	0.867*	1.024	0.973	0.853*	0.956
		(-0.996)	(-2.554)	(0.449)	(-0.250)	(-2.527)	(-0.356)
	suburb	0.965	0.978	1.126**	1.115	1.002	0.948
		(-0.796)	(-0.468)	(2.604)	(1.173)	(0.041)	(-0.503)
	lesshs	1.588***	1.019	1.604***	1.178	1.245***	0.975
		(10.655)	(0.394)	(10.131)	(1.635)	(4.022)	(-0.238)
	univ	0.880**	1.231***	0.936	0.769**	1.155*	0.833
		(-2.703)	(4.059)	(-1.384)	(-2.767)	(2.535)	(-1.661)
	ptemp	1.008	1.214***	1.096	0.922	1.299***	0.911
		(0.141)	(3.298)	(1.578)	(-0.700)	(3.824)	(-0.728)
	unemp	1.415***	2.398***	1.530***	1.537	2.501***	1.156
		(3.351)	(6.788)	(3.576)	(1.528)	(5.583)	(0.527)
	nolabor	1.034	1.342***	1.016	0.947	1.204**	0.965
		(0.705)	(5.615)	(0.311)	(-0.525)	(3.120)	(-0.303)
	selfemp	0.708***	0.726***	0.697***	0.700***	0.769***	0.681**
		(-6.203)	(-5.514)	(-6.352)	(-3.300)	(-4.093)	(-3.257)
	pubemp	1.152***	1.260***	1.325***	1.269*	1.160**	1.102
		(3.435)	(5.020)	(6.394)	(2.428)	(2.848)	(0.890)
	inczscore	0.721***	0.814***	0.687***	0.846***	0.831***	0.830***
		(-15.640)	(-9.748)	(-17.522)	(-4.705)	(-7.883)	(-4.799)
	highrel	1.151*	0.996	0.957	0.832	1.122	0.768*
		(2.540)	(-0.062)	(-0.755)	(-1.615)	(1.630)	(-2.045)
	lowrel	0.962	0.941	0.907*	1.109	0.946	0.931
		(-0.942)	(-1.386)	(-2.300)	(1.168)	(-1.121)	(-0.711)
	/lnsig2u	0.221***					
		(-4.283)					
	Constant	2.119*	1.132	1.004	3.478*	1.747	19.674***
		(2.217)	(0.283)	(0.010)	(2.403)	(1.156)	(3.859)
SINGLE	/lnsig2u		0.418*				
			(-2.497)				
	/lnsig2u			0.286***			
				(-3.502)			
	/lnsig2u				0.300**		
					(-3.154)		
	/lnsig2u					0.492*	
						(-2.025)	
	/lnsig2u						1.045
							(0.118)
							
	Observations	17,284	17,134	17,222	17,697	17,238	17,706
	Number of cntry	17	17	17	17	17	17
	z-statistics in parentheses						
	*** p<0.001, ** p<0.01, * p<0.05						
