cntry,dgovjobs,dgovunemp,dgovincdiff,dgovretire,dgovhous,dhcare
"AU-Australia",.4135152,.6378345,.5024906,.9394673,.7469212,.9387507
"CA-Canada",.3492408,.6513158,.4862183,.9001063,.7125813,.9428571
"FR-France",.6891285,.8052536,.7300448,.9219858,.8635147,.8855368
"DE-Germany",.8048973,.8434121,.7075739,.9666278,.8271704,.9751167
"IE-Ireland",.6907216,.9125432,.781797,.9909091,.9391504,.9908987
"JP-Japan",.607362,.7069486,.626506,.9010695,.5950156,.8981233
"NZ-New Zealand",.5349794,.6229339,.443038,.9396985,.7669405,.96997
"NO-Norway",.7960819,.9280576,.7169118,.9946997,.731662,.9929453
"ES-Spain",.9107041,.9395857,.8940359,.9898592,.9783846,.9921038
"SE-Sweden",.6355685,.9006686,.6880998,.9756098,.8071216,.96034
"CH-Switzerland",.5662414,.722168,.6169056,.9052133,.5774926,.9034712
"GB-Great Britain",.692399,.7859734,.6804878,.9803922,.8853046,.9850402
"US-United States",.3827839,.4679245,.4824976,.8621307,.6644921,.8446866
