	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)
	cntry 36		cntry 124		cntry 208		cntry 246		cntry 250		cntry 276		cntry 372		cntry 392		cntry 528		cntry 554		cntry 578		cntry 620		cntry 724		cntry 752		cntry 756		cntry 826		cntry 840		cntry 36		cntry 124		cntry 208		cntry 246		cntry 250		cntry 276		cntry 372		cntry 392		cntry 528		cntry 554		cntry 578		cntry 620		cntry 724		cntry 752		cntry 756		cntry 826		cntry 840	
VARIABLES	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd	mean	sd
																																																																				
dgovjobs	0.42	0.49	0.34	0.47	0.57	0.49	0.56	0.50	0.59	0.49	0.69	0.46	0.65	0.48	0.52	0.50	0.55	0.50	0.36	0.48	0.77	0.42	0.84	0.37	0.84	0.36	0.57	0.50	0.49	0.50	0.56	0.50	0.39	0.49	0.42	0.49	0.34	0.47	0.57	0.49	0.56	0.50	0.59	0.49	0.69	0.46	0.65	0.48	0.52	0.50	0.55	0.50	0.36	0.48	0.77	0.42	0.84	0.37	0.84	0.36	0.57	0.50	0.49	0.50	0.56	0.50	0.39	0.49
dhcare	0.98	0.12	0.96	0.19	0.99	0.10	1.00	0.07	0.93	0.26	0.96	0.19	1.00	0.06	0.87	0.34	0.99	0.09	0.98	0.15	0.99	0.09	0.98	0.12	0.98	0.15	0.94	0.24	0.88	0.32	0.99	0.09	0.90	0.30	0.98	0.12	0.96	0.19	0.99	0.10	1.00	0.07	0.93	0.26	0.96	0.19	1.00	0.06	0.87	0.34	0.99	0.09	0.98	0.15	0.99	0.09	0.98	0.12	0.98	0.15	0.94	0.24	0.88	0.32	0.99	0.09	0.90	0.30
dgovretire	0.95	0.23	0.95	0.23	0.97	0.16	0.97	0.16	0.93	0.26	0.94	0.23	1.00	0.05	0.88	0.32	0.96	0.19	0.95	0.21	0.99	0.12	0.98	0.13	1.00	0.05	0.97	0.18	0.90	0.30	0.98	0.16	0.90	0.30	0.95	0.23	0.95	0.23	0.97	0.16	0.97	0.16	0.93	0.26	0.94	0.23	1.00	0.05	0.88	0.32	0.96	0.19	0.95	0.21	0.99	0.12	0.98	0.13	1.00	0.05	0.97	0.18	0.90	0.30	0.98	0.16	0.90	0.30
dgovunemp	0.57	0.50	0.63	0.48	0.81	0.40	0.86	0.35	0.67	0.47	0.72	0.45	0.83	0.38	0.57	0.50	0.69	0.46	0.49	0.50	0.88	0.32	0.91	0.28	0.93	0.25	0.84	0.37	0.67	0.47	0.58	0.49	0.52	0.50	0.57	0.50	0.63	0.48	0.81	0.40	0.86	0.35	0.67	0.47	0.72	0.45	0.83	0.38	0.57	0.50	0.69	0.46	0.49	0.50	0.88	0.32	0.91	0.28	0.93	0.25	0.84	0.37	0.67	0.47	0.58	0.49	0.52	0.50
dgovincdiff	0.59	0.49	0.67	0.47	0.54	0.50	0.76	0.43	0.75	0.43	0.73	0.44	0.80	0.40	0.64	0.48	0.71	0.46	0.49	0.50	0.73	0.45	0.94	0.23	0.87	0.34	0.67	0.47	0.69	0.46	0.70	0.46	0.52	0.50	0.59	0.49	0.67	0.47	0.54	0.50	0.76	0.43	0.75	0.43	0.73	0.44	0.80	0.40	0.64	0.48	0.71	0.46	0.49	0.50	0.73	0.45	0.94	0.23	0.87	0.34	0.67	0.47	0.69	0.46	0.70	0.46	0.52	0.50
dgovhous	0.80	0.40	0.84	0.36	0.82	0.38	0.87	0.34	0.86	0.35	0.78	0.42	0.96	0.19	0.37	0.48	0.82	0.38	0.71	0.45	0.82	0.39	0.95	0.22	0.96	0.18	0.78	0.41	0.64	0.48	0.87	0.34	0.77	0.42	0.80	0.40	0.84	0.36	0.82	0.38	0.87	0.34	0.86	0.35	0.78	0.42	0.96	0.19	0.37	0.48	0.82	0.38	0.71	0.45	0.82	0.39	0.95	0.22	0.96	0.18	0.78	0.41	0.64	0.48	0.87	0.34	0.77	0.42
																																																																				
