		(1)	(2)	(3)	(4)	(5)	(6)
EQUATION	VARIABLES	a	a	a	a	a	a
							
a	a	.	.	.	.	.	.
		(.)	(.)	(.)	(.)	(.)	(.)
	foreignpct	0.944**	0.941	0.962	0.974	0.992	0.965
		(-2.622)	(-1.944)	(-1.619)	(-0.656)	(-0.229)	(-0.760)
	age	0.984*	1.030***	1.020**	1.058***	1.004	1.035*
		(-2.343)	(4.078)	(2.807)	(3.977)	(0.417)	(2.152)
	agesq	1.000	1.000**	1.000	1.000***	1.000	1.000*
		(1.738)	(-2.669)	(-1.887)	(-3.377)	(0.054)	(-2.107)
	female	1.328***	1.080	1.244***	1.219*	1.182***	1.244*
		(7.891)	(1.957)	(5.755)	(2.499)	(3.774)	(2.521)
	nevermar	1.149**	1.378***	1.150*	1.213	1.400***	1.173
		(2.635)	(5.516)	(2.516)	(1.631)	(5.021)	(1.200)
	divorced	1.007	1.239**	1.129	1.018	1.359***	0.857
		(0.114)	(3.162)	(1.839)	(0.130)	(3.906)	(-1.089)
	widow	1.100	1.128	1.114	0.858	1.105	1.258
		(1.161)	(1.295)	(1.168)	(-0.848)	(0.929)	(1.121)
	hhsize	1.074***	1.068**	1.100***	1.015	1.044	1.003
		(3.826)	(3.239)	(4.822)	(0.375)	(1.843)	(0.079)
	kidshh	1.000	0.919	0.894*	0.897	0.956	1.229
		(-0.003)	(-1.530)	(-2.090)	(-1.000)	(-0.707)	(1.699)
	rural	0.951	0.867*	1.024	0.969	0.854*	0.957
		(-1.000)	(-2.559)	(0.452)	(-0.278)	(-2.516)	(-0.346)
	suburb	0.966	0.978	1.126**	1.117	1.003	0.948
		(-0.786)	(-0.458)	(2.610)	(1.193)	(0.057)	(-0.507)
	lesshs	1.587***	1.018	1.603***	1.175	1.244***	0.977
		(10.636)	(0.379)	(10.122)	(1.601)	(4.008)	(-0.219)
	univ	0.879**	1.230***	0.936	0.767**	1.154*	0.833
		(-2.719)	(4.048)	(-1.394)	(-2.791)	(2.524)	(-1.662)
	ptemp	1.008	1.214***	1.096	0.924	1.299***	0.910
		(0.138)	(3.299)	(1.574)	(-0.682)	(3.830)	(-0.736)
	unemp	1.416***	2.399***	1.530***	1.539	2.501***	1.157
		(3.355)	(6.791)	(3.577)	(1.530)	(5.583)	(0.530)
	nolabor	1.034	1.342***	1.016	0.945	1.204**	0.965
		(0.704)	(5.618)	(0.310)	(-0.540)	(3.118)	(-0.308)
	selfemp	0.709***	0.726***	0.697***	0.700***	0.769***	0.682**
		(-6.196)	(-5.510)	(-6.349)	(-3.301)	(-4.090)	(-3.250)
	pubemp	1.151***	1.259***	1.324***	1.257*	1.158**	1.099
		(3.424)	(5.002)	(6.386)	(2.330)	(2.818)	(0.872)
	inczscore	0.721***	0.814***	0.687***	0.846***	0.831***	0.830***
		(-15.640)	(-9.747)	(-17.520)	(-4.704)	(-7.882)	(-4.796)
	highrel	1.154**	0.999	0.958	0.843	1.125	0.772*
		(2.595)	(-0.024)	(-0.727)	(-1.495)	(1.664)	(-2.003)
	lowrel	0.963	0.941	0.907*	1.111	0.947	0.931
		(-0.938)	(-1.395)	(-2.301)	(1.190)	(-1.114)	(-0.710)
	/lnsig2u	0.283***					
		(-3.603)					
	Constant	2.656**	1.604	1.197	7.789**	2.931	29.411***
		(2.787)	(1.017)	(0.481)	(3.061)	(1.944)	(4.394)
SINGLE	/lnsig2u		0.564				
			(-1.643)				
	/lnsig2u			0.324**			
				(-3.169)			
	/lnsig2u				0.939		
					(-0.159)		
	/lnsig2u					0.808	
						(-0.609)	
	/lnsig2u						1.212
							(0.522)
							
	Observations	17,284	17,134	17,222	17,697	17,238	17,706
	Number of cntry	17	17	17	17	17	17
	z-statistics in parentheses						
	*** p<0.001, ** p<0.01, * p<0.05						
