		(1)	(2)	(3)	(4)	(5)	(6)
EQUATION	VARIABLES	a	a	a	a	a	a
							
a	a	.	.	.	.	.	.
		(.)	(.)	(.)	(.)	(.)	(.)
	foreignpct	0.949*	0.945	0.971	0.988	1.015	0.971
		(-2.351)	(-1.753)	(-1.275)	(-0.299)	(0.488)	(-0.612)
	emprate	0.975	0.980	0.960	0.937	0.898**	0.974
		(-0.977)	(-0.541)	(-1.531)	(-1.391)	(-2.927)	(-0.479)
	age	0.984*	1.030***	1.020**	1.058***	1.004	1.035*
		(-2.344)	(4.078)	(2.804)	(3.976)	(0.413)	(2.151)
	agesq	1.000	1.000**	1.000	1.000***	1.000	1.000*
		(1.741)	(-2.668)	(-1.882)	(-3.374)	(0.058)	(-2.106)
	female	1.328***	1.080	1.244***	1.219*	1.183***	1.244*
		(7.892)	(1.957)	(5.757)	(2.499)	(3.778)	(2.522)
	nevermar	1.150**	1.378***	1.151*	1.214	1.401***	1.174
		(2.640)	(5.518)	(2.523)	(1.640)	(5.031)	(1.203)
	divorced	1.007	1.239**	1.129	1.019	1.359***	0.857
		(0.118)	(3.164)	(1.845)	(0.135)	(3.911)	(-1.087)
	widow	1.100	1.128	1.115	0.858	1.106	1.258
		(1.163)	(1.295)	(1.171)	(-0.845)	(0.937)	(1.121)
	hhsize	1.074***	1.068**	1.100***	1.014	1.043	1.003
		(3.821)	(3.237)	(4.815)	(0.368)	(1.821)	(0.075)
	kidshh	1.000	0.919	0.894*	0.897	0.957	1.230
		(-0.001)	(-1.528)	(-2.086)	(-0.995)	(-0.691)	(1.701)
	rural	0.951	0.867*	1.025	0.970	0.854*	0.958
		(-0.997)	(-2.558)	(0.459)	(-0.271)	(-2.510)	(-0.345)
	suburb	0.966	0.978	1.126**	1.117	1.002	0.948
		(-0.789)	(-0.458)	(2.602)	(1.193)	(0.044)	(-0.506)
	lesshs	1.586***	1.018	1.604***	1.173	1.244***	0.976
		(10.633)	(0.375)	(10.129)	(1.591)	(4.010)	(-0.225)
	univ	0.879**	1.230***	0.935	0.766**	1.153*	0.833
		(-2.724)	(4.046)	(-1.402)	(-2.805)	(2.505)	(-1.666)
	ptemp	1.008	1.214***	1.096	0.925	1.300***	0.911
		(0.144)	(3.301)	(1.581)	(-0.675)	(3.833)	(-0.733)
	unemp	1.415***	2.398***	1.529***	1.534	2.496***	1.156
		(3.348)	(6.788)	(3.568)	(1.519)	(5.572)	(0.526)
	nolabor	1.034	1.342***	1.015	0.945	1.204**	0.964
		(0.700)	(5.616)	(0.303)	(-0.548)	(3.107)	(-0.311)
	selfemp	0.708***	0.726***	0.697***	0.700***	0.769***	0.682**
		(-6.198)	(-5.511)	(-6.350)	(-3.303)	(-4.089)	(-3.251)
	pubemp	1.151***	1.259***	1.325***	1.258*	1.159**	1.100
		(3.426)	(5.003)	(6.391)	(2.336)	(2.837)	(0.873)
	inczscore	0.721***	0.814***	0.687***	0.846***	0.831***	0.830***
		(-15.638)	(-9.746)	(-17.514)	(-4.703)	(-7.871)	(-4.796)
	highrel	1.154**	0.999	0.958	0.843	1.126	0.772*
		(2.591)	(-0.025)	(-0.726)	(-1.495)	(1.683)	(-2.005)
	lowrel	0.963	0.941	0.908*	1.113	0.948	0.932
		(-0.926)	(-1.389)	(-2.280)	(1.211)	(-1.088)	(-0.703)
	/lnsig2u	0.267***					
		(-3.758)					
	Constant	15.533	6.530	20.721	745.693*	5,115.710***	185.478
		(1.490)	(0.712)	(1.598)	(1.976)	(3.292)	(1.332)
SINGLE	/lnsig2u		0.555				
			(-1.692)				
	/lnsig2u			0.283***			
				(-3.528)			
	/lnsig2u				0.847		
					(-0.424)		
	/lnsig2u					0.532	
						(-1.787)	
	/lnsig2u						1.195
							(0.483)
							
	Observations	17,284	17,134	17,222	17,697	17,238	17,706
	Number of cntry	17	17	17	17	17	17
	z-statistics in parentheses						
	*** p<0.001, ** p<0.01, * p<0.05						
