		(1)	(2)	(3)	(4)	(5)	(6)
EQUATION	VARIABLES	a	a	a	a	a	a
							
a	a	.	.	.	.	.	.
		(.)	(.)	(.)	(.)	(.)	(.)
	foreignpct	0.956	0.947	0.960	0.959	0.970	0.922
		(-1.774)	(-1.481)	(-1.454)	(-0.898)	(-0.723)	(-1.606)
	mcp	0.937	0.968	1.010	1.079	1.116	1.252
		(-1.005)	(-0.346)	(0.142)	(0.629)	(0.999)	(1.735)
	age	0.984*	1.030***	1.020**	1.058***	1.004	1.035*
		(-2.343)	(4.078)	(2.807)	(3.979)	(0.416)	(2.153)
	agesq	1.000	1.000**	1.000	1.000***	1.000	1.000*
		(1.738)	(-2.669)	(-1.887)	(-3.378)	(0.054)	(-2.109)
	female	1.328***	1.080	1.244***	1.219*	1.183***	1.244*
		(7.892)	(1.957)	(5.755)	(2.500)	(3.776)	(2.524)
	nevermar	1.149**	1.378***	1.150*	1.214	1.401***	1.177
		(2.626)	(5.513)	(2.518)	(1.639)	(5.029)	(1.223)
	divorced	1.006	1.239**	1.129	1.019	1.359***	0.859
		(0.105)	(3.159)	(1.841)	(0.137)	(3.912)	(-1.070)
	widow	1.099	1.128	1.114	0.858	1.105	1.260
		(1.155)	(1.293)	(1.169)	(-0.844)	(0.934)	(1.131)
	hhsize	1.074***	1.068**	1.100***	1.015	1.044	1.003
		(3.823)	(3.238)	(4.822)	(0.376)	(1.844)	(0.074)
	kidshh	1.000	0.919	0.894*	0.897	0.956	1.231
		(-0.004)	(-1.530)	(-2.090)	(-0.997)	(-0.704)	(1.709)
	rural	0.950	0.866*	1.025	0.971	0.855*	0.962
		(-1.014)	(-2.563)	(0.455)	(-0.262)	(-2.502)	(-0.305)
	suburb	0.966	0.978	1.126**	1.117	1.003	0.949
		(-0.789)	(-0.458)	(2.610)	(1.194)	(0.055)	(-0.501)
	lesshs	1.587***	1.018	1.604***	1.176	1.245***	0.979
		(10.637)	(0.377)	(10.123)	(1.611)	(4.018)	(-0.199)
	univ	0.879**	1.230***	0.936	0.767**	1.154*	0.832
		(-2.714)	(4.049)	(-1.395)	(-2.794)	(2.521)	(-1.673)
	ptemp	1.007	1.214***	1.096	0.924	1.299***	0.911
		(0.132)	(3.298)	(1.574)	(-0.682)	(3.831)	(-0.735)
	unemp	1.416***	2.399***	1.530***	1.538	2.501***	1.157
		(3.356)	(6.791)	(3.577)	(1.529)	(5.583)	(0.529)
	nolabor	1.034	1.342***	1.016	0.945	1.204**	0.965
		(0.704)	(5.618)	(0.310)	(-0.540)	(3.118)	(-0.304)
	selfemp	0.709***	0.726***	0.697***	0.700***	0.769***	0.681**
		(-6.190)	(-5.508)	(-6.349)	(-3.305)	(-4.093)	(-3.257)
	pubemp	1.152***	1.259***	1.324***	1.257*	1.158**	1.099
		(3.434)	(5.004)	(6.385)	(2.325)	(2.813)	(0.865)
	inczscore	0.721***	0.814***	0.687***	0.846***	0.831***	0.831***
		(-15.646)	(-9.749)	(-17.518)	(-4.699)	(-7.876)	(-4.775)
	highrel	1.154**	0.999	0.958	0.843	1.125	0.773*
		(2.594)	(-0.024)	(-0.727)	(-1.491)	(1.670)	(-1.993)
	lowrel	0.962	0.941	0.907*	1.112	0.947	0.932
		(-0.947)	(-1.397)	(-2.300)	(1.195)	(-1.110)	(-0.698)
	/lnsig2u	0.267***					
		(-3.768)					
	Constant	2.837**	1.658	1.185	7.193**	2.624	23.426***
		(2.983)	(1.068)	(0.445)	(2.925)	(1.750)	(4.266)
SINGLE	/lnsig2u		0.560				
			(-1.663)				
	/lnsig2u			0.324**			
				(-3.173)			
	/lnsig2u				0.906		
					(-0.247)		
	/lnsig2u					0.761	
						(-0.778)	
	/lnsig2u						1.015
							(0.040)
							
	Observations	17,284	17,134	17,222	17,697	17,238	17,706
	Number of cntry	17	17	17	17	17	17
	z-statistics in parentheses						
	*** p<0.001, ** p<0.01, * p<0.05						
