		(1)	(2)	(3)	(4)	(5)	(6)
EQUATION	VARIABLES	a	a	a	a	a	a
							
a	a	.	.	.	.	.	.
		(.)	(.)	(.)	(.)	(.)	(.)
	foreignpct	0.953*	0.972	0.958*	0.983	0.996	0.981
		(-2.380)	(-1.056)	(-1.983)	(-0.381)	(-0.095)	(-0.383)
	socdem	0.731	1.295	0.473*	1.198	0.756	2.312
		(-1.055)	(0.650)	(-2.337)	(0.271)	(-0.470)	(1.129)
	liberal	0.485**	0.399**	0.523*	0.838	0.617	1.308
		(-2.928)	(-2.774)	(-2.426)	(-0.319)	(-0.971)	(0.438)
	age	0.984*	1.030***	1.020**	1.058***	1.004	1.035*
		(-2.341)	(4.072)	(2.806)	(3.977)	(0.417)	(2.150)
	agesq	1.000	1.000**	1.000	1.000***	1.000	1.000*
		(1.739)	(-2.662)	(-1.885)	(-3.376)	(0.054)	(-2.108)
	female	1.329***	1.080*	1.244***	1.219*	1.183***	1.244*
		(7.906)	(1.968)	(5.766)	(2.500)	(3.776)	(2.521)
	nevermar	1.150**	1.378***	1.150*	1.213	1.400***	1.174
		(2.648)	(5.523)	(2.511)	(1.632)	(5.021)	(1.202)
	divorced	1.007	1.240**	1.128	1.018	1.359***	0.857
		(0.119)	(3.171)	(1.827)	(0.132)	(3.906)	(-1.084)
	widow	1.100	1.129	1.113	0.858	1.105	1.260
		(1.167)	(1.308)	(1.160)	(-0.844)	(0.928)	(1.130)
	hhsize	1.075***	1.069**	1.100***	1.015	1.044	1.004
		(3.867)	(3.283)	(4.822)	(0.387)	(1.849)	(0.090)
	kidshh	0.999	0.918	0.894*	0.896	0.956	1.228
		(-0.023)	(-1.555)	(-2.087)	(-1.007)	(-0.710)	(1.689)
	rural	0.949	0.866**	1.023	0.969	0.853*	0.958
		(-1.025)	(-2.580)	(0.433)	(-0.286)	(-2.526)	(-0.342)
	suburb	0.966	0.978	1.127**	1.118	1.003	0.947
		(-0.775)	(-0.460)	(2.619)	(1.195)	(0.062)	(-0.516)
	lesshs	1.581***	1.017	1.599***	1.174	1.242***	0.981
		(10.562)	(0.355)	(10.064)	(1.592)	(3.977)	(-0.180)
	univ	0.879**	1.230***	0.936	0.767**	1.154*	0.833
		(-2.716)	(4.045)	(-1.389)	(-2.792)	(2.523)	(-1.661)
	ptemp	1.006	1.213**	1.094	0.925	1.299***	0.911
		(0.114)	(3.289)	(1.541)	(-0.680)	(3.827)	(-0.730)
	unemp	1.414***	2.398***	1.528***	1.538	2.500***	1.159
		(3.343)	(6.788)	(3.566)	(1.529)	(5.580)	(0.536)
	nolabor	1.034	1.342***	1.015	0.945	1.204**	0.965
		(0.696)	(5.613)	(0.296)	(-0.541)	(3.116)	(-0.304)
	selfemp	0.709***	0.726***	0.698***	0.700***	0.769***	0.682**
		(-6.185)	(-5.500)	(-6.334)	(-3.299)	(-4.088)	(-3.248)
	pubemp	1.150***	1.257***	1.325***	1.256*	1.158**	1.097
		(3.395)	(4.969)	(6.403)	(2.318)	(2.815)	(0.855)
	inczscore	0.720***	0.814***	0.686***	0.846***	0.831***	0.830***
		(-15.667)	(-9.756)	(-17.551)	(-4.705)	(-7.891)	(-4.780)
	highrel	1.157**	1.003	0.960	0.844	1.125	0.773*
		(2.634)	(0.045)	(-0.690)	(-1.484)	(1.672)	(-1.989)
	lowrel	0.962	0.940	0.908*	1.110	0.947	0.930
		(-0.952)	(-1.402)	(-2.284)	(1.183)	(-1.114)	(-0.726)
	/lnsig2u	0.186***					
		(-4.752)					
	Constant	3.390***	1.486	1.967	7.114*	3.604	17.685**
		(3.427)	(0.872)	(1.769)	(2.504)	(1.955)	(3.285)
SINGLE	/lnsig2u		0.336**				
			(-3.087)				
	/lnsig2u			0.216***			
				(-4.264)			
	/lnsig2u				0.911		
					(-0.233)		
	/lnsig2u					0.763	
						(-0.770)	
	/lnsig2u						1.122
							(0.312)
							
	Observations	17,284	17,134	17,222	17,697	17,238	17,706
	Number of cntry	17	17	17	17	17	17
	z-statistics in parentheses						
	*** p<0.001, ** p<0.01, * p<0.05						
