		(1)	(2)	(3)	(4)	(5)	(6)
EQUATION	VARIABLES	a	a	a	a	a	a
							
a	a	.	.	.	.	.	.
		(.)	(.)	(.)	(.)	(.)	(.)
	foreignpct	0.952*	0.958	0.963	0.968	0.996	0.959
		(-2.063)	(-1.323)	(-1.430)	(-0.738)	(-0.091)	(-0.831)
	socx	1.029	1.057	1.004	0.979	1.016	0.977
		(0.896)	(1.252)	(0.100)	(-0.340)	(0.283)	(-0.334)
	age	0.984*	1.030***	1.020**	1.058***	1.004	1.035*
		(-2.343)	(4.079)	(2.807)	(3.977)	(0.417)	(2.152)
	agesq	1.000	1.000**	1.000	1.000***	1.000	1.000*
		(1.738)	(-2.669)	(-1.887)	(-3.377)	(0.054)	(-2.108)
	female	1.328***	1.080	1.244***	1.219*	1.182***	1.244*
		(7.892)	(1.958)	(5.755)	(2.499)	(3.774)	(2.521)
	nevermar	1.150**	1.378***	1.150*	1.212	1.400***	1.173
		(2.641)	(5.522)	(2.517)	(1.628)	(5.023)	(1.198)
	divorced	1.008	1.239**	1.129	1.018	1.359***	0.857
		(0.121)	(3.169)	(1.840)	(0.127)	(3.907)	(-1.091)
	widow	1.100	1.128	1.114	0.857	1.105	1.257
		(1.167)	(1.300)	(1.169)	(-0.850)	(0.930)	(1.119)
	hhsize	1.074***	1.068**	1.100***	1.014	1.044	1.003
		(3.839)	(3.252)	(4.823)	(0.369)	(1.846)	(0.072)
	kidshh	0.999	0.918	0.893*	0.897	0.956	1.230
		(-0.011)	(-1.537)	(-2.091)	(-0.997)	(-0.708)	(1.702)
	rural	0.950	0.866*	1.024	0.970	0.854*	0.958
		(-1.012)	(-2.571)	(0.451)	(-0.271)	(-2.519)	(-0.340)
	suburb	0.966	0.978	1.126**	1.118	1.003	0.948
		(-0.793)	(-0.466)	(2.610)	(1.195)	(0.056)	(-0.505)
	lesshs	1.586***	1.017	1.603***	1.176	1.244***	0.978
		(10.620)	(0.363)	(10.117)	(1.610)	(4.003)	(-0.209)
	univ	0.879**	1.230***	0.936	0.767**	1.154*	0.833
		(-2.725)	(4.042)	(-1.395)	(-2.789)	(2.523)	(-1.659)
	ptemp	1.008	1.214***	1.096	0.924	1.299***	0.910
		(0.139)	(3.299)	(1.574)	(-0.684)	(3.831)	(-0.737)
	unemp	1.415***	2.398***	1.530***	1.539	2.500***	1.158
		(3.351)	(6.787)	(3.577)	(1.532)	(5.582)	(0.532)
	nolabor	1.034	1.342***	1.016	0.946	1.204**	0.965
		(0.703)	(5.617)	(0.310)	(-0.539)	(3.117)	(-0.307)
	selfemp	0.709***	0.726***	0.697***	0.700***	0.769***	0.682**
		(-6.194)	(-5.507)	(-6.348)	(-3.302)	(-4.090)	(-3.251)
	pubemp	1.151***	1.258***	1.324***	1.258*	1.158**	1.100
		(3.410)	(4.990)	(6.384)	(2.336)	(2.815)	(0.878)
	inczscore	0.721***	0.814***	0.687***	0.846***	0.831***	0.830***
		(-15.644)	(-9.750)	(-17.520)	(-4.701)	(-7.883)	(-4.793)
	highrel	1.156**	1.000	0.958	0.842	1.125	0.771*
		(2.617)	(0.003)	(-0.724)	(-1.504)	(1.668)	(-2.011)
	lowrel	0.963	0.941	0.907*	1.111	0.947	0.931
		(-0.935)	(-1.389)	(-2.301)	(1.188)	(-1.114)	(-0.712)
	/lnsig2u	0.270***					
		(-3.734)					
	Constant	1.270	0.388	1.094	13.205	1.965	52.728*
		(0.268)	(-0.776)	(0.092)	(1.526)	(0.445)	(2.076)
SINGLE	/lnsig2u		0.515				
			(-1.898)				
	/lnsig2u			0.324**			
				(-3.171)			
	/lnsig2u				0.938		
					(-0.163)		
	/lnsig2u					0.803	
						(-0.625)	
	/lnsig2u						1.206
							(0.510)
							
	Observations	17,284	17,134	17,222	17,697	17,238	17,706
	Number of cntry	17	17	17	17	17	17
	z-statistics in parentheses						
	*** p<0.001, ** p<0.01, * p<0.05						
