	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
VARIABLES	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare
																																										
govjobs	.						.						.						.						.						.						.					
	(.)						(.)						(.)						(.)						(.)						(.)						(.)					
foreignpct	0.948***	0.999	0.945***	1.085*	0.997	0.872***	0.947***	0.999	0.944***	1.081*	0.974	0.860***	0.941**	1.001	0.915***	1.060	1.007	0.866***																			0.912***	0.992	0.924***	1.091*	0.974	0.840***
	(-4.573)	(-0.085)	(-4.577)	(2.232)	(-0.182)	(-4.131)	(-4.671)	(-0.057)	(-4.644)	(2.053)	(-1.364)	(-4.350)	(-3.258)	(0.035)	(-4.662)	(1.490)	(0.321)	(-3.570)																			(-6.332)	(-0.480)	(-5.309)	(2.219)	(-1.323)	(-4.941)
age	0.984**	1.014*	1.012*	1.031**	0.995	1.029**	0.984**	1.014*	1.012*	1.031**	0.994	1.029**	0.984**	1.014*	1.012*	1.031**	0.995	1.029**	0.984**	1.014*	1.011*	1.032**	0.995	1.029**	0.983**	1.014*	1.011*	1.032**	0.994	1.029**	0.984**	1.014*	1.011*	1.032**	0.995	1.030**	0.984**	1.014*	1.012*	1.032**	0.995	1.030**
	(-3.120)	(2.517)	(2.224)	(2.975)	(-0.800)	(2.753)	(-3.182)	(2.522)	(2.191)	(2.966)	(-0.975)	(2.701)	(-3.112)	(2.515)	(2.261)	(2.988)	(-0.818)	(2.755)	(-3.210)	(2.518)	(2.118)	(3.078)	(-0.772)	(2.682)	(-3.270)	(2.523)	(2.097)	(3.060)	(-0.963)	(2.676)	(-3.167)	(2.537)	(2.147)	(3.078)	(-0.748)	(2.757)	(-3.071)	(2.530)	(2.261)	(3.018)	(-0.732)	(2.791)
agesq	1.000	1.000	1.000	1.000**	1.000	1.000**	1.000	1.000	1.000	1.000**	1.000	1.000**	1.000	1.000	1.000	1.000**	1.000	1.000**	1.000	1.000	1.000	1.000**	1.000	1.000**	1.000	1.000	1.000	1.000**	1.000	1.000**	1.000	1.000	1.000	1.000**	1.000	1.000**	1.000	1.000	1.000	1.000**	1.000	1.000**
	(1.750)	(-1.280)	(-1.453)	(-2.593)	(0.750)	(-3.127)	(1.800)	(-1.285)	(-1.428)	(-2.587)	(0.891)	(-3.088)	(1.740)	(-1.278)	(-1.495)	(-2.614)	(0.768)	(-3.131)	(1.832)	(-1.283)	(-1.352)	(-2.698)	(0.717)	(-3.070)	(1.880)	(-1.287)	(-1.337)	(-2.686)	(0.875)	(-3.065)	(1.807)	(-1.298)	(-1.374)	(-2.698)	(0.707)	(-3.127)	(1.694)	(-1.294)	(-1.492)	(-2.646)	(0.680)	(-3.173)
female	1.371***	1.122***	1.277***	1.251***	1.256***	1.220**	1.371***	1.122***	1.277***	1.251***	1.255***	1.219**	1.371***	1.122***	1.277***	1.250***	1.256***	1.220**	1.371***	1.122***	1.278***	1.250***	1.256***	1.222***	1.371***	1.122***	1.278***	1.250***	1.256***	1.222***	1.372***	1.122***	1.278***	1.250***	1.258***	1.225***	1.371***	1.122***	1.278***	1.251***	1.256***	1.220**
	(10.895)	(3.664)	(8.287)	(3.788)	(6.682)	(3.282)	(10.888)	(3.664)	(8.285)	(3.786)	(6.654)	(3.273)	(10.893)	(3.664)	(8.281)	(3.775)	(6.686)	(3.280)	(10.908)	(3.665)	(8.304)	(3.774)	(6.693)	(3.311)	(10.902)	(3.665)	(8.303)	(3.772)	(6.673)	(3.310)	(10.926)	(3.671)	(8.312)	(3.774)	(6.715)	(3.353)	(10.897)	(3.664)	(8.291)	(3.790)	(6.687)	(3.290)
