u_teamid,software_final_models,numinteam
1,Stata,3
2,Stata,3
3,R,2
4,Stata,3
5,Stata,2
6,Stata,3
7,Stata,3
8,Stata,1
9,Stata,2
10,R,3
11,Stata,3
12,R,2
13,Stata,1
14,R,3
15,Stata,3
16,R,2
17,Stata,1
18,Stata,3
19,Stata,2
20,Stata,2
21,Stata,1
22,R,3
23,Stata,2
24,Stata,2
25,Stata,1
26,Stata,3
27,SPSS,3
28,Stata,2
29,SPSS,2
30,Stata,1
31,Stata,3
32,Stata,2
33,Stata,3
34,R,2
35,SPSS,3
36,Stata,3
37,Stata,2
38,Stata,2
39,Stata,3
40,Stata,1
41,Mplus,2
42,Stata,3
43,SPSS,1
44,Stata,2
45,Stata,1
46,Stata,3
47,R,1
48,Stata,3
49,Stata,3
50,R,1
51,Stata,1
52,Stata,3
53,R,3
54,Stata,3
55,Stata,3
56,Stata,1
57,Stata,3
58,Stata,3
59,Mplus,2
710,Python,1
60,Stata,3
61,Stata,1
62,R,1
63,Stata,3
64,Stata,3
65,SPSS,2
66,R,3
67,R,2
68,R,2
69,Stata,1
70,R,2
71,Stata,3
72,R,1
73,Stata,2
74,Stata,1
75,Mplus,2
76,R,2
77,Stata,3
78,Stata,1
79,R,2
80,R,2
81,Stata,2
82,Stata,2
83,R,2
84,R,2
85,R,2
