V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
,,Effect-Level,,,Team-Level,,,Team-Level Dichotomous,,
Variables,Measurement,Transparent,Opaque,Pooled,Transparent,Opaque,Pooled,TG,OG,Pooled
Raw Replication Results,,,,,NA,NA,NA,NA,NA,NA
Cases,,1872,1874,3746,39,46,85,39,46,85
Verification,same direction =1,0.957,0.893,0.925,0.957,0.887,0.918,0.795,0.652,0.718
Exact Verification,identical at two decimals =1,0.769,0.481,0.625,0.769,0.473,0.606,0.615,0.065,0.318
Deviance,absolute difference with original,0.013,0.071,0.042,0.013,0.073,0.046,0.013,0.072,0.045
"Deviance, SD",standard deviation,0.037,0.202,0.148,0.024,0.195,0.148,0.024,0.199,0.149
Trimmed Replication Results,,,,,NA,NA,NA,NA,NA,NA
Cases,,1776,1764,3540,37,44,81,37,44,81
Verification,same direction =1,0.963,0.920,0.941,0.963,0.914,0.936,0.838,0.682,0.753
Exact Verification,identical at two decimals =1,0.795,0.507,0.651,0.795,0.500,0.633,0.649,0.068,0.333
Deviance,absolute difference with original,0.012,0.067,0.040,0.012,0.069,0.043,0.012,0.069,0.043
"Deviance, SD",standard deviation,0.035,0.205,0.150,0.023,0.200,0.151,0.023,0.203,0.152
Curated Replication Results,,,,,NA,NA,NA,NA,NA,NA
Cases,,1872,1875,3747,39,46,85,39,46,85
Verification,same direction =1,0.982,0.923,0.952,0.982,0.917,0.946,0.872,0.761,0.812
Exact Verification,identical at two decimals =1,0.839,0.566,0.702,0.839,0.556,0.683,0.641,0.130,0.365
Deviance,absolute difference with original,0.008,0.025,0.016,0.008,0.028,0.019,0.008,0.025,0.017
"Deviance, SD",standard deviation,0.026,0.053,0.042,0.016,0.041,0.033,0.016,0.039,0.032
Independent Variables,,,,,NA,NA,NA,NA,NA,NA
Stata,other software =0,0.666666667,0.630434783,0.647058824,NA,NA,NA,NA,NA,NA
SD,,0.477566933,0.488020749,0.480720747,NA,NA,NA,NA,NA,NA
Sociology Degree,other degrees =0,0.487179487,0.5,0.494117647,NA,NA,NA,NA,NA,NA
SD,,0.506369684,0.50552503,0.502932576,NA,NA,NA,NA,NA,NA
Stats-Skill,"4-question scale, stdzd,",-0.036631897,0.131830399,0.054535934,NA,NA,NA,NA,NA,NA
SD,,1.785942989,1.539237745,1.64902519,NA,NA,NA,NA,NA,NA
Difficulty,"1-question, stdzd.",2.102564103,2.239130435,2.176470588,NA,NA,NA,NA,NA,NA
SD,,0.787897662,0.765500058,0.774234962,NA,NA,NA,NA,NA,NA
Team Size,1-3 persons,-0.088461538,0.015217391,-0.032352941,NA,NA,NA,NA,NA,NA
SD,,0.642616111,0.860288683,0.765502709,NA,NA,NA,NA,NA,NA
Qualitative Categories,,,,,NA,NA,NA,NA,NA,NA
Mistake,see text,0.230769231,0.326086957,0.282352941,NA,NA,NA,NA,NA,NA
Procedural,see text,0.128205128,0.739130435,0.458823529,NA,NA,NA,NA,NA,NA
Mistake-Procedural,see text,0.205128205,0.217391304,0.211764706,NA,NA,NA,NA,NA,NA
Missing Component,see text,0.025641026,0.065217391,0.047058824,NA,NA,NA,NA,NA,NA
Interpretational,see text,0,0.065217391,0.035294118,NA,NA,NA,NA,NA,NA
Questionable Methods Competencies,see text,0,0.065217391,0.035294118,NA,NA,NA,NA,NA,NA
