"","Group.1","x","Exp1","u_teamid","u_teamid2","u_expgroup1","backgr_degree1","backgr_degree2","backgr_degree3","numinteam","software","degree","difficult","stat_skill","dv_tag","deviance","or","sig","orig_or","orig_sig","orig_direction","rep_direction","verif","exact","deviance_abs","count","max","max1","insamp","stat_degree","stata","degree_soc"
"1",1,1,2,1,1,NA,3,7,6,3,NA,1,-0.55,1.49325685277492,20.5,0.002225,1.01065,0.15,1.008425,0.625,1.5,1.5,1,1,0.002375,0.418175,1.92,1.92,1,1,1,1
"2",2,2,1,2,2,NA,4,4,4,3,NA,2,-1.55,2.03043879887994,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.526458333333333,1.92,1.92,1,0,1,0
"3",3,3,1,3,3,NA,4,6,4,2,NA,2,-0.55,-0.0738710694427634,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.527458333333333,1.92,1.92,1,0,0,0
"4",5,5,2,5,5,NA,4,1,4,3,NA,2,-0.55,-0.457952963947167,20.5,0.00537500000000001,1.0138,0.525,1.008425,0.625,1.5,1.525,1,0.65,0.00837500000000001,0.820275,1.92,1.92,1,0,1,0
"5",6,6,2,6,6,NA,3,6,3,2,NA,1,-0.55,0.923306722716527,20.5,0.0038,1.012225,0.5,1.008425,0.625,1.5,1.55,1,0.8,0.00629999999999999,0.70245,1.92,1.92,1,0,1,1
"6",7,7,2,7,7,NA,4,3,3,3,NA,2,-0.55,-0.280097824051577,20.5,0.00252499999999998,1.01095,0.425,1.008425,0.625,1.5,1.525,1,0.525,0.010325,0.993775,1.92,1.92,1,0,1,0
"7",8,8,2,8,8,NA,3,3,3,3,NA,1,-0.55,2.08006121750112,20.027027027027,0.00340540540540541,1.00945945945946,0.459459459459459,1.00605405405405,0.621621621621622,1.51351351351351,1.59459459459459,0.918918918918919,0.459459459459459,0.0352972972972973,1.17127027027027,1.92,1.92,1,0,1,1
"8",10,10,2,10,10,NA,6,6,6,1,NA,3,-0.55,2.66927962454015,20.5,0.00474999999999998,1.013175,0.525,1.008425,0.625,1.5,1.475,1,0.55,0.01185,1.00215,1.92,1.92,1,0,1,0
"9",11,11,1,11,11,NA,2,6,2,2,NA,3,-0.55,-1.21364023019796,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.528458333333333,1.92,1.92,1,0,1,0
"10",12,12,1,12,12,NA,5,5,5,3,NA,3,0.45,0.588768508335829,24.5,-0.0481041666666667,0.96525,0.8125,1.01335416666667,0.458333333333333,1.52083333333333,1.83333333333333,0.479166666666667,0.208333333333333,0.0793125,1.73341666666667,1.92,1.92,1,0,0,0
"11",13,13,2,13,13,NA,3,3,3,3,NA,1,0.45,2.19606834762606,20.5,-0.00869999999999999,0.999725,0.45,1.008425,0.625,1.5,1.85,0.9,0.55,0.019,1.0142,1.92,1.92,1,0,1,1
"12",16,16,2,16,16,NA,3,6,3,2,NA,1,0.45,2.55310591600207,20.5,-0.001,1.007425,0,1.008425,0.625,1.5,1.55,0.8,0.1,0.0644,1.55615,1.92,1.92,1,0,0,1
"13",17,17,2,17,17,NA,3,6,6,1,NA,1,0.45,0.324184825055661,20.5,0.003975,1.0124,0.5,1.008425,0.625,1.5,1.55,1,0.8,0.006475,0.725575,1.92,1.92,1,0,1,1
"14",18,18,2,18,18,NA,4,4,4,3,NA,2,-0.55,-1.91522415701794,20.5,0.00407500000000001,1.0125,0.05,1.008425,0.625,1.5,1.575,1,0.5,0.011475,0.97675,1.92,1.92,1,0,0,0
"15",19,19,1,19,19,NA,3,3,3,3,NA,1,-0.55,0.663762284570818,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.529479166666667,1.92,1.92,1,0,1,1
"16",20,20,1,20,20,NA,3,6,6,2,NA,1,-0.55,0.355221658693045,24.5,-0.000458333333333331,1.01289583333333,0,1.01335416666667,0.458333333333333,1.52083333333333,1.54166666666667,1,1,0.000458333333333331,0.826166666666667,1.92,1.92,1,0,0,1
"17",21,21,1,21,21,NA,3,6,6,1,NA,1,0.45,-1.73196792099784,24.5,0.00187499999999999,1.01522916666667,0.5,1.01335416666667,0.458333333333333,1.52083333333333,1.47916666666667,1,0.979166666666667,0.00329166666666666,1.27285416666667,1.92,1.92,1,0,1,1
"18",22,22,2,22,22,NA,3,3,3,3,NA,1,-0.55,0.255017243556645,20.5,0.00207499999999999,1.0105,0.6,1.008425,0.625,1.5,1.475,1,0.8,0.00547500000000002,0.6633,1.92,1.92,1,0,1,1
"19",23,23,1,23,23,NA,3,6,3,2,NA,1,0.45,-2.54351801245996,24.5,-0.000354166666666665,1.013,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.5625,1,0.979166666666667,0.000354166666666665,0.6355,1.92,1.92,1,0,1,1
"20",26,26,2,26,26,NA,3,6,3,2,NA,1,-0.55,0.818834031165565,20.5,-0.00215000000000002,1.006275,0.525,1.008425,0.625,1.5,1.575,0.875,0.5,0.0225,1.102825,1.92,1.92,1,0,1,1
"21",27,27,1,27,27,NA,4,6,6,1,NA,2,0.45,2.9749785479604,24.5,0.0000416666666666713,1.01339583333333,0,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0.000125000000000005,0.610541666666667,1.92,1.92,1,0,1,0
"22",28,28,2,28,28,NA,3,2,3,3,NA,1,-0.55,1.24815260698418,20.5,0.00182500000000001,1.01025,0.15,1.008425,0.625,1.5,1.575,1,0.775,0.00717500000000002,0.850525,1.92,1.92,1,0,0,1
"23",29,29,2,29,29,NA,2,6,4,2,NA,3,-0.55,0.572108742542905,20.5,0.00385,1.012275,0.5,1.008425,0.625,1.5,1.525,1,0.8,0.00639999999999998,0.712725,1.92,1.92,1,0,1,0
"24",30,30,2,30,30,NA,3,6,3,2,NA,1,-0.55,2.16790937730791,20.5,0.00434999999999999,1.012775,0.575,1.008425,0.625,1.5,1.5,1,0.75,0.00755000000000001,0.82375,1.92,1.92,1,0,1,1
"25",31,31,1,31,31,NA,3,6,6,1,NA,1,0.45,3.80096883177748,24.5,0.0124375,1.02579166666667,0.729166666666667,1.01335416666667,0.458333333333333,1.52083333333333,1.45833333333333,0.875,0.520833333333333,0.0353958333333333,1.190125,1.92,1.92,1,0,1,1
"26",32,32,2,32,32,NA,3,4,3,3,NA,1,-0.55,0.456975721750897,20.5,0.00422499999999999,1.01265,0.5,1.008425,0.625,1.5,1.475,1,0.575,0.010225,0.985825,1.92,1.92,1,0,1,1
"27",33,33,2,33,33,NA,NA,6,5,3,NA,3,1.45,0.233631240043491,20.5,-0.10735,0.901075,0.825,1.008425,0.625,1.5,1.75,0.425,0.125,0.15875,1.67825,1.92,1.92,1,0,0,0
"28",34,34,2,34,34,NA,3,6,3,2,NA,1,-0.55,0.131475280950929,20.5,0.00345,1.011875,0.5,1.008425,0.625,1.5,1.55,0.95,0.825,0.0063,0.65565,1.92,1.92,1,0,1,1
