u_teamid2,verif,exact,deviance_abs,verif_cur,exact_cur,deviance_cur,verif_trim,exact_trim,deviance_trim,Exp,Team
1,1,1,0.0023406336360121795,1,1,0.0023406336360121795,1,1,0.0023406336360121795,0,1
4,1,0.7,0.00837044171821254,1,0.7,0.00837044171821254,1,0.7,0.00837044171821254,0,4
5,0.3076923076923077,0.07692307692307693,0.10423573626374213,1,0.8,0.006323933474612076,0.3076923076923077,0.07692307692307693,0.10423573626374213,0,5
6,1,0.6,0.01031476146146032,1,0.6,0.01031476146146032,1,0.6,0.01031476146146032,0,6
7,0.918918918918919,0.4594594594594595,0.034988539078219,0.918918918918919,0.4594594594594595,0.034988539078219,0.918918918918919,0.4594594594594595,0.034988539078219,0,7
8,1,0.55,0.011918294375605454,1,0.55,0.011918294375605454,1,0.55,0.011918294375605454,0,8
11,0.9,0.55,0.018704391243073593,0.9,0.55,0.018704391243073593,0.9,0.55,0.018704391243073593,0,11
12,0.8,0.1,0.06730903890338223,0.8,0.1,0.06730903890338223,0.8,0.1,0.06730903890338223,0,12
13,1,0.8,0.006492068373459642,1,0.8,0.006492068373459642,1,0.8,0.006492068373459642,0,13
14,1,0.5,0.011280148913470206,1,0.5,0.011280148913470206,1,0.5,0.011280148913470206,0,14
18,1,0.8,0.005450397144950242,1,0.8,0.005450397144950242,1,0.8,0.005450397144950242,0,18
20,0.875,0.5,0.02327652961395086,0.875,0.5,0.02327652961395086,0.875,0.5,0.02327652961395086,0,20
22,1,0.825,0.007096445467053536,1,0.825,0.007096445467053536,1,0.825,0.007096445467053536,0,22
23,1,0.8,0.006423478742185407,1,0.8,0.006423478742185407,1,0.8,0.006423478742185407,0,23
24,1,0.75,0.007403166760556507,1,0.75,0.007403166760556507,1,0.75,0.007403166760556507,0,24
26,1,0.575,0.010288053503547206,1,0.575,0.010288053503547206,1,0.575,0.010288053503547206,0,26
27,0.425,0.125,0.19615872448195712,0.425,0.125,0.19615872448195712,NA,NA,NA,0,27
