"","u_teamid2","software_final_models"
"1",2,"Stata"
"2",3,"R"
"3",11,"Stata"
"4",12,"R"
"5",19,"Stata"
"6",20,"R"
"7",21,"Stata"
"8",23,"Stata"
"9",27,"Stata"
"10",31,"Stata"
"11",35,"SPSS"
"12",37,"Stata"
"13",40,"R"
"14",42,"Stata"
"15",43,"Stata"
"16",45,"Stata"
"17",46,"Stata"
"18",47,"Stata"
"19",48,"Mplus"
"20",49,"Stata"
"21",52,"Stata"
"22",53,"Stata"
"23",56,"R"
"24",57,"Stata"
"25",62,"R"
"26",67,"Stata"
"27",71,"Python"
"28",72,"Stata"
"29",73,"Stata"
"30",75,"Stata"
"31",76,"Stata"
"32",77,"SPSS"
"33",79,"R"
"34",84,"R"
"35",86,"Stata"
"36",87,"R"
"37",88,"Stata"
"38",94,"R"
"39",96,"Stata"
"40",102,"Stata"
"41",1,"Stata"
"42",5,"Stata"
"43",6,"Stata"
"44",7,"Stata"
"45",8,"Stata"
"46",10,"Stata"
"47",13,"Stata"
"48",16,"R"
"49",17,"Stata"
"50",18,"R"
"51",22,"Stata"
"52",26,"Stata"
"53",28,"R"
"54",29,"Stata"
"55",30,"Stata"
"56",32,"Stata"
"57",33,"SPSS"
"58",34,"Stata"
"59",36,"Stata"
"60",38,"Stata"
"61",39,"Stata"
"62",41,"SPSS"
"63",50,"SPSS"
"64",54,"Stata"
"65",58,"Stata"
"66",59,"R"
"67",60,"Stata"
"68",61,"Stata"
"69",64,"Stata"
"70",65,"Stata"
"71",68,"Stata"
"72",69,"Stata"
"73",70,"Mplus"
"74",74,"R"
"75",80,"R"
"76",82,"R"
"77",83,"Stata"
"78",90,"Stata"
"79",93,"Mplus"
"80",95,"Stata"
"81",97,"R"
"82",98,"R"
"83",101,"Stata"
"84",104,"R"
"85",105,"R"
"86",106,"R"
